Time(s), Pan(degree), Tilt(degree), Signal Strength
1.2,1.0,0.0,529.0
1.4,2.0,0.0,477.0
1.6,3.0,0.0,439.0
1.8,4.0,0.0,406.0
2.0,5.0,0.0,373.0
2.2,6.0,0.0,347.0
2.41,7.0,0.0,328.0
2.61,8.0,0.0,315.0
2.81,9.0,0.0,305.0
3.01,10.0,0.0,299.0
3.21,11.0,0.0,301.0
3.41,12.0,0.0,306.0
3.61,13.0,0.0,315.0
3.81,14.0,0.0,325.0
4.01,15.0,0.0,334.0
4.21,16.0,0.0,347.0
4.41,17.0,0.0,362.0
4.61,18.0,0.0,374.0
4.81,19.0,0.0,382.0
5.02,20.0,0.0,385.0
5.22,21.0,0.0,386.0
5.42,22.0,0.0,384.0
5.62,23.0,0.0,372.0
5.82,24.0,0.0,360.0
6.02,25.0,0.0,345.0
6.22,26.0,0.0,329.0
6.42,27.0,0.0,314.0
6.62,28.0,0.0,294.0
6.82,29.0,0.0,279.0
7.02,30.0,0.0,269.0
7.23,31.0,0.0,262.0
7.43,32.0,0.0,259.0
7.63,33.0,0.0,258.0
7.83,34.0,0.0,258.0
8.03,35.0,0.0,266.0
8.23,36.0,0.0,277.0
8.43,37.0,0.0,288.0
8.63,38.0,0.0,301.0
8.83,39.0,0.0,313.0
9.03,40.0,0.0,327.0
9.23,41.0,0.0,349.0
9.44,42.0,0.0,369.0
9.64,43.0,0.0,387.0
9.84,44.0,0.0,398.0
10.04,45.0,0.0,405.0
10.24,46.0,0.0,408.0
10.44,47.0,0.0,405.0
10.64,48.0,0.0,396.0
10.84,49.0,0.0,380.0
11.04,50.0,0.0,361.0
11.24,51.0,0.0,342.0
11.44,52.0,0.0,322.0
11.64,53.0,0.0,298.0
11.85,54.0,0.0,281.0
12.05,55.0,0.0,266.0
12.25,56.0,0.0,254.0
12.45,57.0,0.0,248.0
12.65,58.0,0.0,249.0
12.85,59.0,0.0,247.0
13.05,60.0,0.0,251.0
13.25,61.0,0.0,261.0
13.45,62.0,0.0,274.0
13.65,63.0,0.0,290.0
13.85,64.0,0.0,308.0
14.06,65.0,0.0,324.0
14.26,66.0,0.0,340.0
14.46,67.0,0.0,361.0
14.66,68.0,0.0,379.0
14.86,69.0,0.0,393.0
15.06,70.0,0.0,401.0
15.26,71.0,0.0,405.0
15.46,72.0,0.0,407.0
15.66,73.0,0.0,399.0
15.86,74.0,0.0,385.0
16.06,75.0,0.0,369.0
16.26,76.0,0.0,350.0
16.47,77.0,0.0,328.0
16.67,78.0,0.0,301.0
16.87,79.0,0.0,282.0
17.07,80.0,0.0,267.0
17.27,81.0,0.0,255.0
17.47,82.0,0.0,247.0
17.67,83.0,0.0,246.0
17.87,84.0,0.0,244.0
18.07,85.0,0.0,252.0
18.27,86.0,0.0,264.0
18.48,87.0,0.0,280.0
18.68,88.0,0.0,297.0
18.88,89.0,0.0,314.0
19.08,90.0,0.0,330.0
19.28,91.0,0.0,351.0
19.48,92.0,0.0,373.0
19.68,93.0,0.0,391.0
19.88,94.0,0.0,403.0
20.08,95.0,0.0,411.0
20.28,96.0,0.0,413.0
20.48,97.0,0.0,413.0
20.68,98.0,0.0,401.0
20.89,99.0,0.0,386.0
21.09,100.0,0.0,366.0
21.29,101.0,0.0,345.0
21.49,102.0,0.0,323.0
21.69,103.0,0.0,293.0
21.89,104.0,0.0,278.0
22.09,105.0,0.0,263.0
22.29,106.0,0.0,252.0
22.49,107.0,0.0,246.0
22.69,108.0,0.0,243.0
22.89,109.0,0.0,242.0
23.1,110.0,0.0,246.0
23.3,111.0,0.0,256.0
23.5,112.0,0.0,270.0
23.7,113.0,0.0,286.0
23.9,114.0,0.0,304.0
24.1,115.0,0.0,320.0
24.3,116.0,0.0,332.0
24.5,117.0,0.0,351.0
24.7,118.0,0.0,370.0
24.9,119.0,0.0,386.0
25.11,120.0,0.0,399.0
25.31,121.0,0.0,407.0
25.51,122.0,0.0,411.0
25.71,123.0,0.0,413.0
25.91,124.0,0.0,411.0
26.11,125.0,0.0,400.0
26.31,126.0,0.0,386.0
26.51,127.0,0.0,371.0
26.71,128.0,0.0,353.0
26.91,129.0,0.0,334.0
27.11,130.0,0.0,314.0
27.32,131.0,0.0,292.0
27.52,132.0,0.0,278.0
27.72,133.0,0.0,264.0
27.92,134.0,0.0,254.0
28.12,135.0,0.0,248.0
28.32,136.0,0.0,245.0
28.52,137.0,0.0,244.0
28.72,138.0,0.0,244.0
28.92,139.0,0.0,252.0
29.12,140.0,0.0,264.0
29.33,141.0,0.0,278.0
29.53,142.0,0.0,293.0
29.73,143.0,0.0,308.0
29.93,144.0,0.0,323.0
30.13,145.0,0.0,336.0
30.33,146.0,0.0,353.0
30.53,147.0,0.0,371.0
30.73,148.0,0.0,387.0
30.93,149.0,0.0,398.0
31.13,150.0,0.0,405.0
31.34,151.0,0.0,409.0
31.54,152.0,0.0,412.0
31.74,153.0,0.0,412.0
31.94,154.0,0.0,403.0
32.14,155.0,0.0,391.0
32.34,156.0,0.0,378.0
32.54,157.0,0.0,362.0
32.74,158.0,0.0,345.0
32.94,159.0,0.0,328.0
33.14,160.0,0.0,310.0
33.35,161.0,0.0,294.0
33.55,162.0,0.0,275.0
33.75,163.0,0.0,262.0
33.95,164.0,0.0,252.0
34.15,165.0,0.0,246.0
34.35,166.0,0.0,244.0
34.55,167.0,0.0,242.0
34.75,168.0,0.0,243.0
34.95,169.0,0.0,253.0
35.15,170.0,0.0,265.0
35.36,171.0,0.0,279.0
35.56,172.0,0.0,296.0
35.76,173.0,0.0,311.0
35.96,174.0,0.0,327.0
36.16,175.0,0.0,342.0
36.36,176.0,0.0,360.0
36.56,177.0,0.0,379.0
36.76,178.0,0.0,394.0
36.96,179.0,0.0,404.0
37.16,180.0,0.0,409.0
37.36,181.0,1.0,412.0
37.57,180.0,1.0,411.0
37.77,179.0,1.0,400.0
37.97,178.0,1.0,386.0
38.17,177.0,1.0,369.0
38.37,176.0,1.0,351.0
38.57,175.0,1.0,330.0
38.77,174.0,1.0,310.0
38.97,173.0,1.0,291.0
39.17,172.0,1.0,271.0
39.37,171.0,1.0,257.0
39.58,170.0,1.0,249.0
39.78,169.0,1.0,243.0
39.98,168.0,1.0,243.0
40.18,167.0,1.0,243.0
40.38,166.0,1.0,254.0
40.58,165.0,1.0,267.0
40.78,164.0,1.0,284.0
40.98,163.0,1.0,302.0
41.18,162.0,1.0,320.0
41.38,161.0,1.0,334.0
41.58,160.0,1.0,352.0
41.79,159.0,1.0,372.0
41.99,158.0,1.0,389.0
42.19,157.0,1.0,401.0
42.39,156.0,1.0,407.0
42.59,155.0,1.0,411.0
42.79,154.0,1.0,412.0
42.99,153.0,1.0,404.0
43.19,152.0,1.0,392.0
43.39,151.0,1.0,377.0
43.59,150.0,1.0,359.0
43.79,149.0,1.0,340.0
44.0,148.0,1.0,321.0
44.2,147.0,1.0,302.0
44.4,146.0,1.0,282.0
44.6,145.0,1.0,267.0
44.8,144.0,1.0,254.0
45.0,143.0,1.0,247.0
45.2,142.0,1.0,243.0
45.4,141.0,1.0,241.0
45.6,140.0,1.0,242.0
45.81,139.0,1.0,252.0
46.01,138.0,1.0,263.0
46.21,137.0,1.0,278.0
46.41,136.0,1.0,298.0
46.61,135.0,1.0,315.0
46.81,134.0,1.0,329.0
47.01,133.0,1.0,345.0
47.21,132.0,1.0,365.0
47.41,131.0,1.0,383.0
47.61,130.0,1.0,397.0
47.81,129.0,1.0,405.0
48.02,128.0,1.0,410.0
48.22,127.0,1.0,412.0
48.42,126.0,1.0,407.0
48.62,125.0,1.0,395.0
48.82,124.0,1.0,380.0
49.02,123.0,1.0,362.0
49.22,122.0,1.0,340.0
49.42,121.0,1.0,319.0
49.62,120.0,1.0,298.0
49.82,119.0,1.0,274.0
50.03,118.0,1.0,259.0
50.23,117.0,1.0,249.0
50.43,116.0,1.0,243.0
50.63,115.0,1.0,242.0
50.83,114.0,1.0,243.0
51.03,113.0,1.0,255.0
51.23,112.0,1.0,270.0
51.43,111.0,1.0,290.0
51.63,110.0,1.0,308.0
51.83,109.0,1.0,326.0
52.03,108.0,1.0,345.0
52.24,107.0,1.0,368.0
52.44,106.0,1.0,389.0
52.64,105.0,1.0,403.0
52.84,104.0,1.0,410.0
53.04,103.0,1.0,412.0
53.24,102.0,1.0,407.0
53.44,101.0,1.0,392.0
53.64,100.0,1.0,373.0
53.84,99.0,1.0,352.0
54.04,98.0,1.0,328.0
54.25,97.0,1.0,305.0
54.45,96.0,1.0,284.0
54.65,95.0,1.0,265.0
54.85,94.0,1.0,251.0
55.05,93.0,1.0,246.0
55.25,92.0,1.0,244.0
55.45,91.0,1.0,244.0
55.65,90.0,1.0,254.0
55.85,89.0,1.0,270.0
56.05,88.0,1.0,287.0
56.25,87.0,1.0,308.0
56.46,86.0,1.0,327.0
56.65,85.0,1.0,343.0
56.86,84.0,1.0,365.0
57.06,83.0,1.0,386.0
57.26,82.0,1.0,401.0
57.46,81.0,1.0,410.0
57.66,80.0,1.0,415.0
57.86,79.0,1.0,416.0
58.06,78.0,1.0,406.0
58.26,77.0,1.0,390.0
58.46,76.0,1.0,370.0
58.66,75.0,1.0,348.0
58.87,74.0,1.0,324.0
59.07,73.0,1.0,297.0
59.27,72.0,1.0,278.0
59.47,71.0,1.0,263.0
59.67,70.0,1.0,251.0
59.87,69.0,1.0,247.0
60.07,68.0,1.0,245.0
60.27,67.0,1.0,250.0
60.47,66.0,1.0,264.0
60.67,65.0,1.0,282.0
60.87,64.0,1.0,304.0
61.08,63.0,1.0,324.0
61.28,62.0,1.0,340.0
61.48,61.0,1.0,363.0
61.68,60.0,1.0,385.0
61.88,59.0,1.0,401.0
62.08,58.0,1.0,411.0
62.28,57.0,1.0,414.0
62.48,56.0,1.0,407.0
62.68,55.0,1.0,396.0
62.88,54.0,1.0,380.0
63.08,53.0,1.0,358.0
63.29,52.0,1.0,332.0
63.49,51.0,1.0,310.0
63.69,50.0,1.0,283.0
63.89,49.0,1.0,267.0
64.09,48.0,1.0,252.0
64.29,47.0,1.0,247.0
64.49,46.0,1.0,244.0
64.69,45.0,1.0,249.0
64.89,44.0,1.0,262.0
65.09,43.0,1.0,279.0
65.29,42.0,1.0,300.0
65.5,41.0,1.0,320.0
65.7,40.0,1.0,337.0
65.9,39.0,1.0,359.0
66.1,38.0,1.0,381.0
66.3,37.0,1.0,398.0
66.5,36.0,1.0,409.0
66.7,35.0,1.0,414.0
66.9,34.0,1.0,415.0
67.1,33.0,1.0,408.0
67.3,32.0,1.0,394.0
67.5,31.0,1.0,376.0
67.7,30.0,1.0,356.0
67.91,29.0,1.0,333.0
68.11,28.0,1.0,313.0
68.31,27.0,1.0,294.0
68.51,26.0,1.0,272.0
68.71,25.0,1.0,257.0
68.91,24.0,1.0,250.0
69.11,23.0,1.0,247.0
69.31,22.0,1.0,245.0
69.51,21.0,1.0,247.0
69.71,20.0,1.0,259.0
69.91,19.0,1.0,272.0
70.12,18.0,1.0,289.0
70.32,17.0,1.0,307.0
70.52,16.0,1.0,320.0
70.72,15.0,1.0,338.0
70.92,14.0,1.0,355.0
71.12,13.0,1.0,375.0
71.32,12.0,1.0,391.0
71.52,11.0,1.0,404.0
71.72,10.0,1.0,411.0
71.92,9.0,1.0,415.0
72.12,8.0,1.0,417.0
72.33,7.0,1.0,414.0
72.53,6.0,1.0,403.0
72.73,5.0,1.0,393.0
72.93,4.0,1.0,378.0
73.13,3.0,1.0,363.0
73.33,2.0,1.0,345.0
73.53,1.0,1.0,328.0
73.73,0.0,1.0,313.0
73.93,-1.0,2.0,296.0
74.13,0.0,2.0,278.0
74.33,1.0,2.0,265.0
74.54,2.0,2.0,255.0
74.74,3.0,2.0,249.0
74.94,4.0,2.0,244.0
75.14,5.0,2.0,243.0
75.34,6.0,2.0,241.0
75.54,7.0,2.0,242.0
75.74,8.0,2.0,251.0
75.94,9.0,2.0,260.0
76.14,10.0,2.0,272.0
76.34,11.0,2.0,288.0
76.54,12.0,2.0,302.0
76.75,13.0,2.0,314.0
76.95,14.0,2.0,326.0
77.15,15.0,2.0,339.0
77.35,16.0,2.0,356.0
77.55,17.0,2.0,368.0
77.75,18.0,2.0,381.0
77.95,19.0,2.0,389.0
78.15,20.0,2.0,396.0
78.35,21.0,2.0,400.0
78.55,22.0,2.0,398.0
78.75,23.0,2.0,400.0
78.95,24.0,2.0,395.0
79.16,25.0,2.0,379.0
79.36,26.0,2.0,360.0
79.56,27.0,2.0,353.0
79.76,28.0,2.0,335.0
79.96,29.0,2.0,323.0
80.16,30.0,2.0,307.0
80.36,31.0,2.0,299.0
80.56,32.0,2.0,291.0
80.76,33.0,2.0,280.0
80.96,34.0,2.0,253.0
81.16,35.0,2.0,250.0
81.37,36.0,2.0,249.0
81.57,37.0,2.0,248.0
81.77,38.0,2.0,254.0
81.97,39.0,2.0,264.0
82.17,40.0,2.0,281.0
82.37,41.0,2.0,290.0
82.57,42.0,2.0,298.0
82.77,43.0,2.0,308.0
82.97,44.0,2.0,318.0
83.17,45.0,2.0,327.0
83.37,46.0,2.0,334.0
83.58,47.0,2.0,341.0
83.78,48.0,2.0,348.0
83.98,49.0,2.0,352.0
84.18,50.0,2.0,357.0
84.38,51.0,2.0,362.0
84.58,52.0,2.0,365.0
84.78,53.0,2.0,362.0
84.98,54.0,2.0,358.0
85.18,55.0,2.0,354.0
85.38,56.0,2.0,347.0
85.58,57.0,2.0,340.0
85.79,58.0,2.0,329.0
85.99,59.0,2.0,319.0
86.19,60.0,2.0,307.0
86.39,61.0,2.0,297.0
86.59,62.0,2.0,291.0
86.79,63.0,2.0,266.0
86.99,64.0,2.0,256.0
87.19,65.0,2.0,249.0
87.39,66.0,2.0,246.0
87.59,67.0,2.0,243.0
87.79,68.0,2.0,245.0
88.0,69.0,2.0,254.0
88.2,70.0,2.0,261.0
88.4,71.0,2.0,271.0
88.6,72.0,2.0,281.0
88.8,73.0,2.0,291.0
89.0,74.0,2.0,302.0
89.2,75.0,2.0,312.0
89.4,76.0,2.0,322.0
89.6,77.0,2.0,334.0
89.8,78.0,2.0,344.0
90.0,79.0,2.0,349.0
90.21,80.0,2.0,353.0
90.41,81.0,2.0,358.0
90.61,82.0,2.0,362.0
90.81,83.0,2.0,366.0
91.01,84.0,2.0,383.0
91.21,85.0,2.0,369.0
91.41,86.0,2.0,375.0
91.61,87.0,2.0,368.0
91.81,88.0,2.0,359.0
92.01,89.0,2.0,348.0
92.21,90.0,2.0,334.0
92.42,91.0,2.0,321.0
92.62,92.0,2.0,307.0
92.82,93.0,2.0,292.0
93.02,94.0,2.0,278.0
93.22,95.0,2.0,282.0
93.42,96.0,2.0,274.0
93.62,97.0,2.0,269.0
93.82,98.0,2.0,265.0
94.02,99.0,2.0,264.0
94.22,100.0,2.0,257.0
94.43,101.0,2.0,274.0
94.63,102.0,2.0,282.0
94.83,103.0,2.0,293.0
95.03,104.0,2.0,299.0
95.23,105.0,2.0,311.0
95.43,106.0,2.0,321.0
95.63,107.0,2.0,334.0
95.83,108.0,2.0,348.0
96.03,109.0,2.0,360.0
96.23,110.0,2.0,358.0
96.43,111.0,2.0,363.0
96.63,112.0,2.0,365.0
96.84,113.0,2.0,368.0
97.04,114.0,2.0,367.0
97.24,115.0,2.0,363.0
97.44,116.0,2.0,355.0
97.64,117.0,2.0,345.0
97.84,118.0,2.0,337.0
98.04,119.0,2.0,323.0
98.24,120.0,2.0,313.0
98.44,121.0,2.0,302.0
98.65,122.0,2.0,291.0
98.85,123.0,2.0,279.0
99.05,124.0,2.0,270.0
99.25,125.0,2.0,264.0
99.45,126.0,2.0,261.0
99.65,127.0,2.0,259.0
99.85,128.0,2.0,262.0
100.05,129.0,2.0,268.0
100.25,130.0,2.0,276.0
100.45,131.0,2.0,287.0
100.65,132.0,2.0,296.0
100.86,133.0,2.0,305.0
101.06,134.0,2.0,313.0
101.26,135.0,2.0,326.0
101.46,136.0,2.0,335.0
101.66,137.0,2.0,343.0
101.86,138.0,2.0,349.0
102.06,139.0,2.0,354.0
102.26,140.0,2.0,360.0
102.46,141.0,2.0,363.0
102.66,142.0,2.0,361.0
102.86,143.0,2.0,358.0
103.07,144.0,2.0,352.0
103.27,145.0,2.0,344.0
103.47,146.0,2.0,335.0
103.67,147.0,2.0,322.0
103.87,148.0,2.0,312.0
104.07,149.0,2.0,299.0
104.27,150.0,2.0,290.0
104.47,151.0,2.0,278.0
104.68,152.0,2.0,270.0
104.88,153.0,2.0,263.0
105.08,154.0,2.0,260.0
105.28,155.0,2.0,257.0
105.48,156.0,2.0,260.0
105.68,157.0,2.0,265.0
105.88,158.0,2.0,272.0
106.08,159.0,2.0,285.0
106.28,160.0,2.0,297.0
106.48,161.0,2.0,306.0
106.68,162.0,2.0,314.0
106.89,163.0,2.0,325.0
107.09,164.0,2.0,334.0
107.29,165.0,2.0,343.0
107.49,166.0,2.0,351.0
107.69,167.0,2.0,358.0
107.89,168.0,2.0,362.0
108.09,169.0,2.0,367.0
108.29,170.0,2.0,371.0
108.49,171.0,2.0,369.0
108.69,172.0,2.0,364.0
108.9,173.0,2.0,357.0
109.1,174.0,2.0,349.0
109.3,175.0,2.0,341.0
109.5,176.0,2.0,329.0
109.7,177.0,2.0,317.0
109.9,178.0,2.0,303.0
110.1,179.0,2.0,295.0
110.3,180.0,2.0,287.0
110.5,181.0,3.0,276.0
110.7,180.0,3.0,269.0
110.91,179.0,3.0,263.0
111.11,178.0,3.0,260.0
111.31,177.0,3.0,258.0
111.51,176.0,3.0,261.0
111.71,175.0,3.0,269.0
111.91,174.0,3.0,276.0
112.11,173.0,3.0,290.0
112.31,172.0,3.0,299.0
112.51,171.0,3.0,308.0
112.71,170.0,3.0,319.0
112.92,169.0,3.0,330.0
113.12,168.0,3.0,339.0
113.32,167.0,3.0,347.0
113.52,166.0,3.0,354.0
113.72,165.0,3.0,360.0
113.92,164.0,3.0,364.0
114.12,163.0,3.0,363.0
114.32,162.0,3.0,358.0
114.52,161.0,3.0,351.0
114.72,160.0,3.0,341.0
114.93,159.0,3.0,328.0
115.13,158.0,3.0,313.0
115.33,157.0,3.0,298.0
115.53,156.0,3.0,291.0
115.73,155.0,3.0,280.0
115.93,154.0,3.0,269.0
116.13,153.0,3.0,262.0
116.33,152.0,3.0,260.0
116.53,151.0,3.0,259.0
116.74,150.0,3.0,264.0
116.94,149.0,3.0,272.0
117.14,148.0,3.0,284.0
117.34,147.0,3.0,298.0
117.54,146.0,3.0,309.0
117.74,145.0,3.0,318.0
117.94,144.0,3.0,330.0
118.14,143.0,3.0,340.0
118.34,142.0,3.0,350.0
118.54,141.0,3.0,359.0
118.75,140.0,3.0,366.0
118.95,139.0,3.0,394.0
119.15,138.0,3.0,393.0
119.35,137.0,3.0,380.0
119.55,136.0,3.0,362.0
119.75,135.0,3.0,338.0
119.95,134.0,3.0,315.0
120.15,133.0,3.0,295.0
120.35,132.0,3.0,270.0
120.55,131.0,3.0,257.0
120.76,130.0,3.0,248.0
120.96,129.0,3.0,243.0
121.16,128.0,3.0,240.0
121.36,127.0,3.0,241.0
121.56,126.0,3.0,254.0
121.76,125.0,3.0,269.0
121.96,124.0,3.0,289.0
122.16,123.0,3.0,309.0
122.36,122.0,3.0,326.0
122.56,121.0,3.0,345.0
122.77,120.0,3.0,367.0
122.97,119.0,3.0,388.0
123.17,118.0,3.0,402.0
123.37,117.0,3.0,410.0
123.57,116.0,3.0,413.0
123.77,115.0,3.0,411.0
123.97,114.0,3.0,398.0
124.17,113.0,3.0,379.0
124.37,112.0,3.0,358.0
124.57,111.0,3.0,335.0
124.77,110.0,3.0,311.0
124.98,109.0,3.0,285.0
125.18,108.0,3.0,269.0
125.38,107.0,3.0,252.0
125.58,106.0,3.0,245.0
125.78,105.0,3.0,242.0
125.98,104.0,3.0,242.0
126.18,103.0,3.0,252.0
126.38,102.0,3.0,269.0
126.58,101.0,3.0,289.0
126.79,100.0,3.0,309.0
126.99,99.0,3.0,326.0
127.19,98.0,3.0,344.0
127.39,97.0,3.0,366.0
127.59,96.0,3.0,387.0
127.79,95.0,3.0,402.0
127.99,94.0,3.0,411.0
128.19,93.0,3.0,416.0
128.39,92.0,3.0,416.0
128.59,91.0,3.0,406.0
128.8,90.0,3.0,389.0
129.0,89.0,3.0,369.0
129.2,88.0,3.0,345.0
129.4,87.0,3.0,322.0
129.6,86.0,3.0,293.0
129.8,85.0,3.0,275.0
130.0,84.0,3.0,260.0
130.2,83.0,3.0,251.0
130.4,82.0,3.0,248.0
130.6,81.0,3.0,246.0
130.8,80.0,3.0,252.0
131.01,79.0,3.0,263.0
131.21,78.0,3.0,281.0
131.41,77.0,3.0,301.0
131.61,76.0,3.0,319.0
131.81,75.0,3.0,337.0
132.01,74.0,3.0,358.0
132.21,73.0,3.0,382.0
132.41,72.0,3.0,399.0
132.61,71.0,3.0,409.0
132.81,70.0,3.0,413.0
133.02,69.0,3.0,414.0
133.22,68.0,3.0,401.0
133.42,67.0,3.0,383.0
133.62,66.0,3.0,360.0
133.82,65.0,3.0,334.0
134.02,64.0,3.0,309.0
134.22,63.0,3.0,280.0
134.42,62.0,3.0,263.0
134.62,61.0,3.0,250.0
134.82,60.0,3.0,244.0
135.02,59.0,3.0,242.0
135.23,58.0,3.0,248.0
135.43,57.0,3.0,264.0
135.63,56.0,3.0,284.0
135.83,55.0,3.0,307.0
136.03,54.0,3.0,329.0
136.23,53.0,3.0,352.0
136.43,52.0,3.0,379.0
136.63,51.0,3.0,399.0
136.83,50.0,3.0,409.0
137.03,49.0,3.0,413.0
137.24,48.0,3.0,408.0
137.44,47.0,3.0,390.0
137.64,46.0,3.0,366.0
137.84,45.0,3.0,337.0
138.04,44.0,3.0,302.0
138.24,43.0,3.0,276.0
138.44,42.0,3.0,256.0
138.64,41.0,3.0,246.0
138.84,40.0,3.0,242.0
139.04,39.0,3.0,245.0
139.24,38.0,3.0,264.0
139.45,37.0,3.0,287.0
139.65,36.0,3.0,313.0
139.85,35.0,3.0,336.0
140.05,34.0,3.0,364.0
140.25,33.0,3.0,391.0
140.45,32.0,3.0,407.0
140.65,31.0,3.0,413.0
140.85,30.0,3.0,410.0
141.05,29.0,3.0,391.0
141.25,28.0,3.0,366.0
141.46,27.0,3.0,334.0
141.66,26.0,3.0,305.0
141.86,25.0,3.0,278.0
142.06,24.0,3.0,256.0
142.26,23.0,3.0,244.0
142.46,22.0,3.0,242.0
142.66,21.0,3.0,249.0
142.86,20.0,3.0,263.0
143.06,19.0,3.0,291.0
143.26,18.0,3.0,317.0
143.46,17.0,3.0,338.0
143.67,16.0,3.0,366.0
143.87,15.0,3.0,391.0
144.07,14.0,3.0,406.0
144.27,13.0,3.0,413.0
144.47,12.0,3.0,412.0
144.67,11.0,3.0,395.0
144.87,10.0,3.0,372.0
145.07,9.0,3.0,346.0
145.27,8.0,3.0,319.0
145.47,7.0,3.0,288.0
145.68,6.0,3.0,268.0
145.88,5.0,3.0,253.0
146.08,4.0,3.0,246.0
146.28,3.0,3.0,244.0
146.48,2.0,3.0,252.0
146.68,1.0,3.0,268.0
146.88,0.0,3.0,293.0
147.08,-1.0,4.0,315.0
147.28,0.0,4.0,337.0
147.48,1.0,4.0,363.0
147.68,2.0,4.0,388.0
147.88,3.0,4.0,406.0
148.09,4.0,4.0,415.0
148.29,5.0,4.0,417.0
148.49,6.0,4.0,407.0
148.69,7.0,4.0,387.0
148.89,8.0,4.0,363.0
149.09,9.0,4.0,335.0
149.29,10.0,4.0,299.0
149.49,11.0,4.0,279.0
149.69,12.0,4.0,258.0
149.89,13.0,4.0,248.0
150.09,14.0,4.0,245.0
150.3,15.0,4.0,250.0
150.5,16.0,4.0,267.0
150.7,17.0,4.0,291.0
150.9,18.0,4.0,315.0
151.1,19.0,4.0,338.0
151.3,20.0,4.0,365.0
151.5,21.0,4.0,393.0
151.7,22.0,4.0,409.0
151.9,23.0,4.0,416.0
152.1,24.0,4.0,417.0
152.3,25.0,4.0,400.0
152.51,26.0,4.0,378.0
152.71,27.0,4.0,349.0
152.91,28.0,4.0,319.0
153.11,29.0,4.0,286.0
153.31,30.0,4.0,264.0
153.51,31.0,4.0,251.0
153.71,32.0,4.0,246.0
153.91,33.0,4.0,246.0
154.11,34.0,4.0,262.0
154.31,35.0,4.0,281.0
154.52,36.0,4.0,311.0
154.72,37.0,4.0,335.0
154.92,38.0,4.0,361.0
155.12,39.0,4.0,390.0
155.32,40.0,4.0,408.0
155.52,41.0,4.0,416.0
155.72,42.0,4.0,418.0
155.92,43.0,4.0,400.0
156.12,44.0,4.0,378.0
156.32,45.0,4.0,347.0
156.52,46.0,4.0,318.0
156.73,47.0,4.0,284.0
156.93,48.0,4.0,265.0
157.13,49.0,4.0,250.0
157.33,50.0,4.0,245.0
157.53,51.0,4.0,245.0
157.73,52.0,4.0,260.0
157.93,53.0,4.0,283.0
158.13,54.0,4.0,309.0
158.33,55.0,4.0,332.0
158.54,56.0,4.0,356.0
158.74,57.0,4.0,384.0
158.94,58.0,4.0,405.0
159.14,59.0,4.0,415.0
159.34,60.0,4.0,418.0
159.54,61.0,4.0,406.0
159.74,62.0,4.0,384.0
159.94,63.0,4.0,357.0
160.14,64.0,4.0,326.0
160.34,65.0,4.0,297.0
160.54,66.0,4.0,269.0
160.75,67.0,4.0,253.0
160.95,68.0,4.0,248.0
161.15,69.0,4.0,246.0
161.35,70.0,4.0,261.0
161.55,71.0,4.0,284.0
161.75,72.0,4.0,311.0
161.95,73.0,4.0,335.0
162.15,74.0,4.0,363.0
162.35,75.0,4.0,393.0
162.55,76.0,4.0,410.0
162.76,77.0,4.0,417.0
162.96,78.0,4.0,414.0
163.16,79.0,4.0,393.0
163.36,80.0,4.0,366.0
163.56,81.0,4.0,334.0
163.76,82.0,4.0,302.0
163.96,83.0,4.0,271.0
164.16,84.0,4.0,252.0
164.36,85.0,4.0,246.0
164.56,86.0,4.0,246.0
164.76,87.0,4.0,263.0
164.97,88.0,4.0,290.0
165.17,89.0,4.0,318.0
165.37,90.0,4.0,342.0
165.57,91.0,4.0,375.0
165.77,92.0,4.0,401.0
165.97,93.0,4.0,414.0
166.17,94.0,4.0,418.0
166.37,95.0,4.0,403.0
166.57,96.0,4.0,377.0
166.77,97.0,4.0,344.0
166.98,98.0,4.0,312.0
167.18,99.0,4.0,277.0
167.38,100.0,4.0,257.0
167.58,101.0,4.0,247.0
167.78,102.0,4.0,245.0
167.98,103.0,4.0,264.0
168.18,104.0,4.0,292.0
168.38,105.0,4.0,322.0
168.58,106.0,4.0,350.0
168.78,107.0,4.0,384.0
168.98,108.0,4.0,408.0
169.19,109.0,4.0,417.0
169.39,110.0,4.0,413.0
169.59,111.0,4.0,391.0
169.79,112.0,4.0,360.0
169.99,113.0,4.0,324.0
170.19,114.0,4.0,284.0
170.39,115.0,4.0,259.0
170.59,116.0,4.0,247.0
170.79,117.0,4.0,243.0
170.99,118.0,4.0,253.0
171.2,119.0,4.0,275.0
171.4,120.0,4.0,303.0
171.6,121.0,4.0,330.0
171.8,122.0,4.0,358.0
172.0,123.0,4.0,388.0
172.2,124.0,4.0,406.0
172.4,125.0,4.0,413.0
172.6,126.0,4.0,410.0
172.8,127.0,4.0,390.0
173.0,128.0,4.0,363.0
173.21,129.0,4.0,331.0
173.41,130.0,4.0,292.0
173.61,131.0,4.0,269.0
173.81,132.0,4.0,250.0
174.01,133.0,4.0,244.0
174.21,134.0,4.0,242.0
174.41,135.0,4.0,255.0
174.61,136.0,4.0,278.0
174.81,137.0,4.0,303.0
175.01,138.0,4.0,329.0
175.22,139.0,4.0,354.0
175.42,140.0,4.0,383.0
175.62,141.0,4.0,405.0
175.82,142.0,4.0,414.0
176.02,143.0,4.0,417.0
176.22,144.0,4.0,404.0
176.42,145.0,4.0,382.0
